,Year_of_Release,Global_Sales,Critic_Score,User_Score,Genre__Action,Genre__Adventure,Genre__Fighting,Genre__Misc,Genre__Platform,Genre__Puzzle,Genre__Racing,Genre__Role-Playing,Genre__Shooter,Genre__Simulation,Genre__Sports,Genre__Strategy,Rating__AO,Rating__E,Rating__E10+,Rating__M,Rating__RP,Rating__T
202,2014.0,4.04,85.0,77.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
203,2009.0,3.97,89.0,86.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
204,2015.0,3.97,92.0,92.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
205,2014.0,3.96,70.0,49.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
206,2015.0,3.95,87.0,76.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
207,2011.0,3.95,93.0,80.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
208,2008.0,3.94,90.0,80.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
209,2007.0,3.94,84.0,88.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
210,2009.0,3.9,81.0,87.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
211,2003.0,3.9,90.0,87.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
212,2014.0,3.89,86.0,87.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
213,2011.0,3.88,94.0,81.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
214,2015.0,3.88,87.0,67.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
215,2005.0,3.87,88.0,86.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
216,2006.0,3.87,84.0,74.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
217,2004.0,3.85,91.0,91.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
218,2010.0,3.84,76.0,79.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
219,2013.0,3.83,78.0,37.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
220,2007.0,3.83,59.0,40.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
221,2016.0,3.8,80.0,70.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
222,2007.0,3.79,68.0,69.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
223,2008.0,3.76,77.0,75.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
224,2002.0,3.76,79.0,80.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
225,2001.0,3.73,64.0,75.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
226,2007.0,3.71,85.0,79.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
227,2000.0,3.71,91.0,88.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
228,2013.0,3.71,88.0,81.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
229,2004.0,3.7,81.0,76.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
230,2002.0,3.67,94.0,85.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
231,2007.0,3.66,67.0,73.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
232,2005.0,3.65,74.0,84.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
233,2002.0,3.65,82.0,79.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
